"Geo","tick","run","random_seed"
"223.53835678065295 161.78140259697582 0.5701792291646098",301.0,1,1248708014
"316.8060850689558 8.768857133589892 0.7318968783075406",301.0,1,1248708014
"366.35206986217077 69.72632375785878 0.6858553893869896",301.0,1,1248708014
"223.00418357028096 160.67956877379993 0.5685623019586628",301.0,1,1248708014
"322.62245620831 8.341886262005497 0.5865936985689788",301.0,1,1248708014
"16.368688860444156 154.75123785745717 0.7758538305985685",301.0,1,1248708014
"16.459551940829844 153.26755929689608 0.7140833898316156",301.0,1,1248708014
"367.3942706510419 68.99487548214633 0.5888505953210962",301.0,1,1248708014
"135.04484326064278 359.27894034408956 0.7993197953352051",301.0,1,1248708014
"15.23950082521942 147.18511454619934 0.6815633772094903",301.0,1,1248708014
"320.98954587230475 11.101026400950813 0.5940833688684387",301.0,1,1248708014
"322.7831631007588 9.690599891756733 0.7740287160216407",301.0,1,1248708014
"224.39984896983506 165.47917765746715 0.8017607339596164",301.0,1,1248708014
"320.76868343364515 14.974341657803473 0.7533803523775341",301.0,1,1248708014
"369.62883968103444 67.90923114333651 0.7035770091435595",301.0,1,1248708014
"225.41640249280883 159.65905964131747 0.619003760612048",301.0,1,1248708014
"135.11041541003388 357.6826235579711 0.7993197953352051",301.0,1,1248708014
"140.790039411112 356.4445872845337 0.618240286543009",301.0,1,1248708014
"13.620318030477527 152.48271600533542 0.6864506181443415",301.0,1,1248708014
"317.6413612848888 13.404978108799323 0.7054853482229937",301.0,1,1248708014
"139.61119471535835 358.73285154818416 0.5683609626204186",301.0,1,1248708014
"225.6678299782404 164.45371643262416 0.8005481321675219",301.0,1,1248708014
"17.006337587986057 149.03783646847654 0.5864310793530546",301.0,1,1248708014
"18.53160372386692 152.70710886631127 0.6576586743972657",301.0,1,1248708014
"15.097874208069218 149.90642018615887 0.7244685268180556",301.0,1,1248708014
"321.01839299905333 12.294941150235212 0.604996403483517",301.0,1,1248708014
"136.2680813797764 360.6699458778014 0.5879207924473885",301.0,1,1248708014
"18.367265993949925 150.5958078476403 0.7639936197475188",301.0,1,1248708014
"222.37974120004878 161.95744917848103 0.6050148689671094",301.0,1,1248708014
"226.14240829283492 161.96960767433453 0.6948628554501486",301.0,1,1248708014
"316.97141320583574 12.15920564138897 0.710845666849839",301.0,1,1248708014
"320.34066814882686 10.05023178092959 0.6467746833184989",301.0,1,1248708014
"368.6827430668981 68.94750184165869 0.7020680079273318",301.0,1,1248708014
"318.896636906932 7.530940368355376 0.6934106478134691",301.0,1,1248708014
"224.81195853454938 161.33722292301334 0.7819030989434697",301.0,1,1248708014
"367.48707326186786 70.62435213455332 0.6033557172665646",301.0,1,1248708014
"321.4396889235309 8.257087048459915 0.6026722042994384",301.0,1,1248708014
"320.33370744856427 7.488178263937418 0.7482484681924877",301.0,1,1248708014
"323.3830097411079 10.97778451575171 0.6477871134258434",301.0,1,1248708014
"138.91072164591893 357.639278888772 0.7306721573743621",301.0,1,1248708014
"317.6484231668925 9.917513323645023 0.5897750901400683",301.0,1,1248708014
"221.87696389309184 160.550472373823 0.5685623019586628",301.0,1,1248708014
"323.90094330636106 12.185436437120847 0.668649041361345",301.0,1,1248708014
"137.43014046422135 361.23907145696563 0.7067375584412399",301.0,1,1248708014
"318.7238459006507 11.94080382755338 0.7213718235458657",301.0,1,1248708014
"319.01348496070835 13.299020918494124 0.671520117588302",301.0,1,1248708014
"366.3536265083315 68.01552396240142 0.7064878994418706",301.0,1,1248708014
"142.1244424863664 356.7786123215301 0.7595689270378981",301.0,1,1248708014
"138.00716066764414 359.8800720622927 0.7718202288492946",301.0,1,1248708014
"315.72573945793823 9.765420067653336 0.7400600456749195",301.0,1,1248708014
"226.96452133800193 163.1962924500203 0.7845112516792747",301.0,1,1248708014
"226.2590966211754 158.68113067130975 0.6739973016094649",301.0,1,1248708014
"15.651298478728078 151.07475395823013 0.5717168099428028",301.0,1,1248708014
"364.9063529346577 67.52850651884486 0.6161074723871569",301.0,1,1248708014
"318.24536108089626 8.768830624152628 0.7107300499075877",301.0,1,1248708014
"372.3150336223536 69.33390737334834 0.65625839847742",301.0,1,1248708014
"136.589919797949 359.33695380905084 0.7489087167986266",301.0,1,1248708014
"12.498884418119049 151.45629626367477 0.6115713817009075",301.0,1,1248708014
"137.81376528495682 358.4740551605816 0.6494800659172608",301.0,1,1248708014
"224.44262651417662 158.6898282917306 0.6193379227937584",301.0,1,1248708014
"370.3418943720289 71.91323169805376 0.7010472824696322",301.0,1,1248708014
"14.385087783544392 151.30700274968967 0.7202324906065083",301.0,1,1248708014
"15.957122107395843 148.33716521495916 0.6771135400172326",301.0,1,1248708014
"322.1510072330872 10.896998009918066 0.5903581538368555",301.0,1,1248708014
"17.8107244307663 148.16632028459415 0.6013974209816908",301.0,1,1248708014
"16.370075611729057 151.9753653257834 0.5859495287460551",301.0,1,1248708014
"319.3200000155327 14.662657129511436 0.7295012882656762",301.0,1,1248708014
"14.311901294847187 153.71485446538765 0.7310982552887474",301.0,1,1248708014
"225.17339198353864 162.90258156963378 0.6396312752241293",301.0,1,1248708014
"318.38600154974 6.148628295657094 0.7839969973926697",301.0,1,1248708014
"368.69383562501963 70.29763333410389 0.6505421542810155",301.0,1,1248708014
"369.0142894267939 71.65178911799882 0.6487794874555519",301.0,1,1248708014
"137.45889333122102 356.827661780785 0.6613407077903627",301.0,1,1248708014
"367.8940691192433 67.93389000684914 0.5846571284990183",301.0,1,1248708014
"223.94072747274305 162.8711199853496 0.5934978800661502",301.0,1,1248708014
"18.771046318264595 149.17587993183358 0.7143278737538765",301.0,1,1248708014
"320.63834506071987 13.53420392002006 0.6954916426761363",301.0,1,1248708014
"367.4346103662335 66.84214857551274 0.6018230851730404",301.0,1,1248708014
"221.15642292114913 161.71345821916648 0.6447343434647657",301.0,1,1248708014
"143.77945324515943 357.9866331071955 0.582415537916644",301.0,1,1248708014
"13.203660346989508 154.66838040826607 0.7316614767655614",301.0,1,1248708014
"224.29168881901114 164.04696915872015 0.6360520833369219",301.0,1,1248708014
"139.36243502332545 359.8609475069538 0.5877408801950654",301.0,1,1248708014
"321.32581351987966 6.034466276426921 0.5899042733596629",301.0,1,1248708014
"15.75205428807669 156.10074755658528 0.7082761954080806",301.0,1,1248708014
"321.7750113879945 7.118867795015764 0.5844775300239259",301.0,1,1248708014
"365.68817894687714 66.58558621335195 0.6090780780774023",301.0,1,1248708014
"14.928806550172622 154.98283445930647 0.6841273537203454",301.0,1,1248708014
"319.99494173809654 11.707777047690108 0.5747291790471388",301.0,1,1248708014
"139.71119752860116 355.740026526127 0.6722647104099383",301.0,1,1248708014
"369.9910659468641 69.1939559324771 0.6315903170719185",301.0,1,1248708014
"136.59772488718195 357.88538597272276 0.7037173081148332",301.0,1,1248708014
"141.85308814886338 359.0243304483521 0.7017691597127346",301.0,1,1248708014
"369.86572157463985 66.2867705566776 0.6052684778287764",301.0,1,1248708014
"17.008357126791633 156.7368873606586 0.702748767220774",301.0,1,1248708014
"142.6251721878813 358.01229578458486 0.5744325649731452",301.0,1,1248708014
"17.595452913196382 151.78631373129838 0.6576586743972657",301.0,1,1248708014
"321.4326607433782 9.455603308051206 0.5982304291365224",301.0,1,1248708014
"17.77297624382606 153.87164868331928 0.7330696368388658",301.0,1,1248708014
"366.3731199739987 71.17231852335881 0.6408853264173878",301.0,1,1248708014
"140.3729545652668 357.7058661494072 0.7116264208620533",301.0,1,1248708014
"14.122585554219748 156.01637660012955 0.6285778609740194",301.0,1,1248708014
"319.69165887579965 8.829447658352235 0.7409364322443039",301.0,1,1248708014
"371.079981638486 67.41082378473587 0.6473686510263976",301.0,1,1248708014
"136.38373483991708 356.10733169809396 0.633053602417969",301.0,1,1248708014
"16.828313800127713 150.39915363081914 0.7890547492974604",301.0,1,1248708014
"135.04499331041677 360.71404650366793 0.6366872256957254",301.0,1,1248708014
"223.04360456987538 164.67732387931866 0.7634031872169038",301.0,1,1248708014
"317.72157140150523 11.09442215345352 0.5955676526868474",301.0,1,1248708014
"224.10948837529807 159.99772034952102 0.7335709000503979",301.0,1,1248708014
"371.2108779126525 69.94618849257544 0.6086267470831646",301.0,1,1248708014
"140.62766434976402 359.6844224710092 0.6939019996042017",301.0,1,1248708014
"371.1624433364993 68.69693633398242 0.6427473923628645",301.0,1,1248708014
"368.71417138694767 66.67851839513006 0.6113818794283008",301.0,1,1248708014
"136.97981367176112 355.8555741313805 0.7059236649853442",401.0,1,1248708014
"137.118436277538 361.71149005831387 0.7936772278875603",401.0,1,1248708014
"143.27803168483084 353.650523746838 0.6192286119334668",401.0,1,1248708014
"325.3741922269813 7.8692525471726285 0.622601452015364",401.0,1,1248708014
"228.4066157993517 165.2048109262308 0.6373085766023737",401.0,1,1248708014
"364.6983677481315 65.76615876327661 0.5707529062688317",401.0,1,1248708014
"322.65040283556993 7.225091104433713 0.5983572052230951",401.0,1,1248708014
"371.8438455338411 69.24697444912267 0.6411697114658681",401.0,1,1248708014
"13.075868182736684 156.19968695091677 0.6713727519445107",401.0,1,1248708014
"15.00595274928044 152.604168556091 0.7178928351664167",401.0,1,1248708014
"222.53119973318076 155.79030331942278 0.616834235766739",401.0,1,1248708014
"369.00995304234374 65.14887003161908 0.5959979017073195",401.0,1,1248708014
"225.2955864788722 157.05324042802246 0.720972741648869",401.0,1,1248708014
"223.94137258886752 161.51856530051865 0.5875792054774929",401.0,1,1248708014
"364.38934571928314 70.02042985239818 0.7376864718472408",401.0,1,1248708014
"318.93135084409795 4.057573867252505 0.5877754750590505",401.0,1,1248708014
"13.846025218297536 157.26134930575503 0.6464917980863754",401.0,1,1248708014
"316.44894183053054 12.006559487150396 0.6840749777605523",401.0,1,1248708014
"370.185987738635 72.86508829214137 0.631241209882611",401.0,1,1248708014
"223.31506154773697 160.51882252740697 0.5961790134513574",401.0,1,1248708014
"322.76296443737556 8.538910543421785 0.7307328009314542",401.0,1,1248708014
"138.746170485255 361.9802652601036 0.5975536782334586",401.0,1,1248708014
"16.951760400305776 157.10270636740162 0.6374272070266869",401.0,1,1248708014
"16.949766092214748 153.05371021149932 0.5799205677063829",401.0,1,1248708014
"366.91256136708574 70.73079703138434 0.6091894083119692",401.0,1,1248708014
"14.33255134600944 144.59843531826354 0.7234605159027363",401.0,1,1248708014
"16.402885773896486 149.24386517342353 0.6487274424637504",401.0,1,1248708014
"9.804489355962852 154.16138362206348 0.6186656181711085",401.0,1,1248708014
"132.50574212789192 359.4494819720435 0.6132841260929572",401.0,1,1248708014
"221.62064147478304 158.13454161772316 0.6179703310472928",401.0,1,1248708014
"223.52408940928171 157.88160659272117 0.5870308874358465",401.0,1,1248708014
"223.47923489957324 168.24512059217125 0.6360839789171826",401.0,1,1248708014
"323.3657975340385 15.445361467397904 0.5962147090457907",401.0,1,1248708014
"368.5491388506533 74.53914767002043 0.7099807254859201",401.0,1,1248708014
"369.37063687493253 68.21734087372865 0.5748128662079652",401.0,1,1248708014
"324.6784153565335 10.253377029486225 0.6384731029895341",401.0,1,1248708014
"225.9593288616251 159.96456201824708 0.763974508065018",401.0,1,1248708014
"373.5731526007223 68.5945345017833 0.6700625032222284",401.0,1,1248708014
"144.17601988647527 356.76194120112467 0.7509804607367114",401.0,1,1248708014
"314.99607746962204 14.881262821458344 0.5701557880203123",401.0,1,1248708014
"133.69768124272267 355.8587006028838 0.6167240498948868",401.0,1,1248708014
"13.137731547264847 151.8074100431502 0.6868278481251938",401.0,1,1248708014
"372.31698300600107 67.92851631588475 0.7572327797500994",401.0,1,1248708014
"145.83274721039226 357.2141644992146 0.6266636479644914",401.0,1,1248708014
"15.281080915559377 148.53619003072242 0.6206106032866684",401.0,1,1248708014
"227.79861032787468 163.55073324359176 0.6581486457540725",401.0,1,1248708014
"220.9309074953801 159.14845084709077 0.6089721807367803",401.0,1,1248708014
"18.568350616538726 150.7230671869736 0.7449357613329639",401.0,1,1248708014
"222.67168773792488 161.61956952857437 0.681137822092339",401.0,1,1248708014
"229.17548319006514 166.25352810327155 0.6638697718218777",401.0,1,1248708014
"21.276765541180517 151.70275754859213 0.7221402741879106",401.0,1,1248708014
"11.79570814062789 152.82827675496395 0.6094989964674035",401.0,1,1248708014
"325.69738071413406 11.118964517838995 0.7000651898197731",401.0,1,1248708014
"318.93000939882216 11.547233621170504 0.7179875842900929",401.0,1,1248708014
"366.2824585413871 71.77533241142945 0.6136236346035066",401.0,1,1248708014
"21.367592268306844 149.4336477173455 0.583981644688023",401.0,1,1248708014
"13.84553333939821 159.51735445168026 0.79143443093602",401.0,1,1248708014
"221.67734018759532 162.43215540087488 0.6047970996686266",401.0,1,1248708014
"135.8080709895515 353.6400613073401 0.6495114579440393",401.0,1,1248708014
"15.366620961971082 145.48526466080574 0.6413755668601212",401.0,1,1248708014
"317.25968548119243 3.1586124550544725 0.5793737117922118",401.0,1,1248708014
"361.9822393577496 67.62824977692911 0.6883307959431755",401.0,1,1248708014
"16.36074626790819 148.0197555587178 0.5818267234865445",401.0,1,1248708014
"20.3960242160843 146.907168001586 0.7651623450537485",401.0,1,1248708014
"319.89774558222524 13.93383237573945 0.675980622024251",401.0,1,1248708014
"370.49184857068934 74.1613086891734 0.703591063735955",401.0,1,1248708014
"367.0126541533299 69.54382528744962 0.5842340469448741",401.0,1,1248708014
"321.58026330772924 12.443210478490359 0.7505466355864837",401.0,1,1248708014
"20.85913508863781 150.47211805206123 0.5756929350696798",401.0,1,1248708014
"320.5185370283646 15.100230731979515 0.6469707170034387",401.0,1,1248708014
"319.6468856229293 10.356839567665165 0.683155121651235",401.0,1,1248708014
